INL
11 окт 19:00  Целье - Цель-ам-Зе$$$2:1 (0:1, 1:0, 1:0)
08 ноя 19:30  Люстенау - Брегенцервальд$$$6:2 (2:0, 1:0, 3:2)
05 дек 21:00  Славия Любляна - Люстенау$$$2:3 (0:0, 2:1, 0:2)
06 дек 19:00  Славия Любляна - Брегенцервальд$$$1:5 (0:2, 0:2, 1:1)
08 дек 21:30  Люстенау - Брегенцервальд$$$4:7 (1:2, 3:2, 0:3)
19 дек 21:00  Славия Любляна - Люстенау$$$1:4 (0:0, 0:3, 1:1)
20 дек 19:00  Славия Любляна - Брегенцервальд$$$0:2 (0:1, 0:0, 0:1)
20 дек 20:00  Есенице - Люстенау$$$1:2 (1:0, 0:2, 0:0)
22 дек 19:00  Капфенберг - Цель-ам-Зе$$$1:3 (1:1, 0:2, 0:0)
MOL Интерлига
03 окт 18:00  Ференцварош - Корона Брашов$$$2:3 (1:0, 1:2, 0:1)
05 окт 19:00  Дебрецен - Мишкольц Йегешмедве$$$1:2 (0:0, 0:1, 1:1)
05 окт 19:00  Дунауйварош Ацельбикак - Корона Брашов$$$6:5 (2:1, 3:1, 1:3)
05 окт 19:00  Уйпешт - Чиксереда$$$3:1 (0:0, 1:0, 2:1)
09 окт 20:00  МАК Будапешт - Ференцварош$$$5:2 (3:2, 1:0, 1:0)
11 окт 18:30  Фехервар АВ II - МАК Будапешт$$$3:2 (1:1, 1:1, 1:0)
11 окт 19:30  Дебрецен - Уйпешт$$$2:2 (0:0, 2:2, 0:0)$$$ОТ	(0:1)
13 окт 19:00  Дебрецен - МАК Будапешт$$$5:4 (1:1, 2:1, 2:2)
19 окт 19:00  Дунауйварош Ацельбикак - Дебрецен$$$4:2 (2:2, 1:0, 1:0)
21 окт 18:30  Корона Брашов - Чиксереда$$$2:5 (1:1, 1:0, 0:4)
22 окт 19:00  Уйпешт - МАК Будапешт$$$1:7 (0:2, 0:2, 1:3)
24 окт 18:15  Ференцварош - Корона Брашов$$$6:1 (2:0, 3:0, 1:1)
24 окт 20:00  МАК Будапешт - Чиксереда$$$7:3 (2:0, 4:0, 1:3)
25 окт 20:15  Дунауйварош Ацельбикак - Чиксереда$$$3:3 (1:0, 1:1, 1:2)$$$ОТ	(0:0)$$$Буллиты	0:1
25 окт 20:30  Уйпешт - Корона Брашов$$$1:1 (1:0, 0:1, 0:0)$$$ОТ	(0:0)$$$Буллиты	2:1
26 окт 20:00  Фехервар АВ II - Ференцварош$$$6:0 (1:0, 3:0, 2:0)
27 окт 20:00  Дебрецен - Чиксереда$$$5:5 (3:2, 0:1, 2:2)$$$ОТ	(0:1)
27 окт 21:00  МАК Будапешт - Корона Брашов$$$2:1 (1:0, 1:0, 0:1)
10 ноя 19:00  Мишкольц Йегешмедве - Дебрецен$$$5:4 (0:1, 4:0, 1:3)
